data,labeldata
Go to Living_Table go to Kitchen_Room and leave the apartment .,Move ( Living_Table ) Move ( Kitchen_Room ) Move ( apartment )
Would you bring rubik's_cube from Living_Table go to Side_Table go to Kitchen_Table .,Move ( Living_Table ) Place ( rubik's_cube Living_Table ) Move ( Side_Table ) Move ( Side_Table ) 
Go to Sofa and find a person nearby bring Korean_Soup from Reception_Table .,Move ( Sofa ) Find ( Korean_Soup Sofa ) Grasp ( Korean_Soup ) Find ( pesron Sofa ) Plcae ( Korean_Soup PERSON )
Well move to Bar get filled_ketchup and come back .,Move ( Bar ) Grasp ( filled_ketchup ) Move ( Bar ) Grasp ( filled_ketchup ) Move ( HERE )
Well go to Living_Sofa take Cup_Noodle bring it to Kitchen_Table .,Move ( Living_Sofa ) Find ( Cup_Noodle Living_Sofa ) Grasp ( Cup_Noodle ) Move ( Kitchen_Table )
Would you move to Dining_Sofa take salt then come back .,Move ( Dining_Sofa ) Find ( salt Dining_Sofa ) Grasp ( salt ) Move ( HERE )
Go to Corridor take Dish_Cleaner place it on Reception_Table okay .,Move ( Corridor ) Find ( Dish_Cleaner Corridor ) Grasp ( Dish_Cleaner ) Move ( Reception_Table )
Would you go to lobby Grasp empty_ketchup finally come back .,Move ( lobby ) Find ( empty_ketchup lobby ) Grasp ( empty_ketchup ) Move ( HERE )
Go to bed_room and find a person nearby bring filled_plastic_bottle from Side_Table .,Move ( bed_room ) Find ( person bed_room ) Move ( Side_Table ) Grasp ( filled_plastic_bottle ) Move ( person )
Move to Dining_Sofa next detect pink_cup get it .,Move ( Dining_Sofa ) Find ( pink_cup Dining_Sofa ) Grasp ( pink_cup )
Go to lobby go to Bar then exit the apartment .,Move ( lobby ) Move ( Bar ) Move ( apartment )
Go to bed_room next find Cup_Noodle take it .,Move ( bed_room ) Find ( Cup_Noodle bed_room ) Grasp ( Cup_Noodle ) 
Would you bring Bath_Cleaner from Living_Sofa move to Sofa go to Kitchen_Room .,Move ( Living_Sofa ) Find ( Bath_Cleaner Living_Sofa ) Move ( Sofa ) Move ( Kitchen_Room )
Would you move to Dining_Sofa get sugar bring it to Side_Table .,Move ( Dining_Sofa ) Find ( sugar Dining_Sofa ) Grasp ( sugar ) Move ( Side_Table )
Go to Kitchen_Room then find a person nearby bring Strawberry_Juice from Side_Table .,Move ( Kitchen_Room ) Find ( person Kitchen_Room ) Move ( Side_Table ) Grasp ( Strawberry_Juice )
Well go to Dining_Table take Long_Potato finally come back .,Move ( Dining_Table ) Grasp ( Long_Potato ) Move ( HERE )
Go to Kitchen_Table next detect filled_ketchup take it .,Move ( Kitchen_Table ) Find ( filled_ketchup Kitchen_Table ) Grasp ( filled_ketchup )
Well move to Living_Sofa get soysauce and come back .,Move ( Living_Sofa ) Grasp ( soysauce ) Move ( Living_Sofa ) Grasp ( soysauce ) Move ( HERE )
Go to Kitchen_Table Grasp toy_duck leave the apartment please .,Move ( Kitchen_Table ) Grasp ( toy_duck ) Move ( apartment )
Go to kitchen next find tumbler Grasp it .,Move ( kitchen ) Find ( tumbler kitchen ) Grasp ( tumbler )
Would you go to Living_Table take toy_duck bring it to Reception_Table .,Move ( Living_Table ) Find ( toy_duck Living_Table ) Grasp ( toy_duck ) Move ( Reception_Table )
Go to Kitchen_Table get sugar exit from Visitor_Room okay .,Move ( Kitchen_Table ) Find ( sugar Kitchen_Table ) Grasp ( sugar ) Move ( Visitor_Room )
Go to Kitchen_Room move to Bar then leave the apartment .,Move ( Kitchen_Room ) Move ( Bar ) Move ( apartment )
Go to Corridor Grasp rabbit_doll throw it into Dustbin please .,Move ( Corridor ) Grasp ( rabbit_doll ) Move ( Dustbin ) Place ( rabbit_doll Dustbin ) 
