data,labeldata
Go to Corridor next find Softner grasp it .,Move ( Corridor )  Find ( Softner )  Grasp ( Softner )
Would you go to Reception_Table  take Red_Potato  bring it to Dining_Table .,Move ( Reception_Table )  Grasp ( Red_Potato )  Move ( Dining_Table )
Go to Corridor then find a person neayby bring Stick_Potato from Reception_Table .,Move ( Corridor )  Find ( person )  Move ( Reception_Table )  Grasp ( Stick_Potato )
Go to Visitor_Room go to Dining_Sofa  and exit from Corridor .,Move ( Visitor_Room )  Move ( Dining_Sofa )  Move ( Corridor )
Go to Dining_Room next find a person neayby get Onion_Dressing from Kitchen_Table .,Move ( Dining_Room )  Find ( person )  Move ( Kitchen_Table )  Grasp ( Onion_Dressing )
Go to Dining_Room  find a person neayby  finally follow a person .,Move ( Dining_Room )  Find ( person )  Follow ( person )
Can you go to Kitchen_Room grasp Egg_Soup  bring it to Living_Sofa .,Move ( Kitchen_Room )  Grasp ( Egg_Soup )  Move ( Living_Sofa ) Grasp ( Egg_Soup )  Move ( Kitchen_Room )
Go to Dining_Sofa go to Kitchen_Room  and exit the apartment .,Move ( Dining_Sofa )  Move ( Dining_Sofa )  Move ( apartment )
Would you bring Green_Tea from Living_Sofa go to Side_Table go to Bar  .,Move ( Living_Sofa )  Plcae ( Green_Tea )  Move ( Side_Table )  Move ( Side_Table ) 
Well move to Kitchen_Table grasp Orange_Juice then come back .,Move ( Kitchen_Table )  Move ( Orange_Juice )  Comeback ( )
Well go to Dining_Table  take Brown_Tea  bring it to Reception_Table .,Move (  Dining_Table )  Grasp ( Brown_Tea ) Move ( Reception_Table )
Go to Kitchen_Table next detect Bath_Cleaner  take it .,Move ( Kitchen_Table )  Find ( Bath_Cleaner )  Grasp ( Bath_Cleaner )
Go to Dining_Room grasp Blue_Potato throw it into Dustbin please .,Move ( Dining_Room )  Grasp ( Blue_Potato )  Move ( Dustbin )  Place ( Blue_Potato ) 
Go to Sofa move to Side_Table take Japanese_Tea .,Move ( Sofa )  Move ( Side_Table )  Find ( Japanese_Tea )  Grasp ( Japanese_Tea )  Comeback ( )
Well get Egg_Soup from Dining_Table go to Living_Room go to Dining_Room .,Move ( Dining_Table )  Grasp ( Egg_Soup ) Move ( Living_Room )  Move ( Dining_Room )
Would you go to Dining_Room grasp Blue_Potato finally come back .,Move ( Dining_Room )  Grasp ( Blue_Potato ) Comeback ( )
Go to Kitchen_Room  go to Living_Table er leave the apartment .,Move ( Kitchen_Room )  Move ( Living_Table ) Move ( apartment )
Go to Living_Sofa move to Bar take Cup_Star .,Move ( Living_Sofa )  Move ( Bar )  Find ( Cup_Star )  Grasp ( Cup_Star )  Comeback ( )
Move to Side_Table  get Japanese_Tea  exit from Kitchen_Room okay .,Move ( Side_Table )  grasp ( Japanese_Tea )  Move ( Kitchen_Room )
Go to Reception_Table take Lemon_Tea  leave the apartment please .,Move ( Reception_Table )  Grasp ( Lemon_Tea )  Move ( apartment )
Go to Visitor_Room er find a person neayby bring Seafood_Noodle from Kitchen_Table .,Move ( Visitor_Room )  Find ( person )  Move ( Kitchen_Table )  Grasp ( Seafood_Noodle )
Go to Living_Room  go to Reception_Table er leave the apartment .,Move ( Living_Room )  Move ( Reception_Table ) Move ( apartment )
Go to Dining_Sofa move to Side_Table  then leave the apartment .,Move ( Dining_Sofa )  Move ( Side_Table )  Move ( apartment )
Go to Bar move to Kitchen_Table  then leave the apartment .,Move ( Bar )  Move ( Kitchen_Table )  Move ( apartment )
Go to Dining_Room go to Sofa  and exit from Visitor_Room .,Move ( Dining_Room )  Move ( Sofa )  Move ( Visitor_Room )
Go to Living_Table  take Stick_Potato put it on Bar okay .,Move ( Living_Table ) Grasp ( Stick_Potato )  Move ( Bar )  Place ( Stick_Potato )
Go to Living_Table get Blue_Potato  exit from Dining_Room okay .,Move (  Living_Table  )  grasp ( Blue_Potato )  Move ( Dining_Room )
Would you go to Sofa take Cup_Star er come back .,Move ( Sofa )  Find ( Cup_Star )  Grasp ( Cup_Star )  Comeback ( )
Well move to Living_Table get Chip_Star and come back .,Move ( Living_Table )  Grasp ( Chip_Star )  Move ( Living_Table )  Grasp ( Chip_Star )  Comeback ( )
Go to Visitor_Room next find Brown_Tea grasp it .,Move ( Visitor_Room )  Find ( Brown_Tea )  Grasp ( Brown_Tea )
Can you bring Stick_Potato from Kitchen_Table go to Kitchen_Room move to Dining_Sofa .,Move ( Kitchen_Table )  Grasp ( Stick_Potato )  Move ( Kitchen_Room ) Move ( Dining_Sofa )
Well go to Kitchen_Table  take Stick_Potato  bring it to Living_Table .,Move (  Kitchen_Table )  Grasp ( Stick_Potato ) Move ( Living_Table )
Would you bring Cup_Star from Reception_Table go to Bar go to Side_Table  .,Move ( Reception_Table )  Plcae ( Cup_Star )  Move ( Bar )  Move ( Bar ) 
Go to Dining_Table then detect Green_Tea  take it .,Move ( Dining_Table )  Find ( Green_Tea )  Grasp ( Green_Tea ) Move ( Green_Tea )
Would you go to Dining_Table take Cup_Noodle er come back .,Move ( Dining_Table )  Find ( Cup_Noodle )  Grasp ( Cup_Noodle )  Comeback ( )
