data,labeldata
Go to Living_Room next find cigarette take it .,Move ( Living_Room ) Find ( cigarette Living_Room ) Grasp ( cigarette ) 
Go to bed_room move to Reception_Table then leave the apartment .,Move ( bed_room ) Move ( Reception_Table ) Move ( apartment )
Well move to Living_Sofa Grasp toy_duck then come back .,Move ( Living_Sofa ) Move ( toy_duck ) Move ( HERE )
Go to bed_room go to Kitchen_Table then exit the apartment .,Move ( bed_room ) Move ( Kitchen_Table ) Move ( apartment )
Would you go to Side_Table get Japanese_Tea carry it to Bar .,Move ( Side_Table ) Find ( Japanese_Tea Side_Table ) Grasp ( Japanese_Tea ) Move ( Bar )
Move to Dining_Sofa go to Living_Table then exit the apartment .,Move ( Dining_Sofa ) Move ( Living_Table ) Move ( apartment )
Well move to Dining_Sofa Grasp Orange_Juice then come back .,Move ( Dining_Sofa ) Move ( Orange_Juice ) Move ( HERE )
Go to lobby next find a person nearby get rabbit_doll from Dining_Sofa .,Move ( lobby ) Find ( person ) Move ( Dining_Sofa ) Grasp ( rabbit_doll )
Would you go to Reception_Table get empty_ketchup carry it to Dining_Table .,Move ( Reception_Table ) Find ( empty_ketchup Reception_Table ) Grasp ( empty_ketchup ) Move ( Dining_Table )
Move to Kitchen_Table and detect bear_doll get it .,Move ( Kitchen_Table ) Find ( bear_doll Kitchen_Table ) Grasp ( bear_doll )
Would you move to Side_Table get Cloth_Cleaner bring it to Dining_Table .,Move ( Side_Table ) Find ( Cloth_Cleaner Side_Table ) Grasp ( Cloth_Cleaner ) Move ( Dining_Table )
Would you move to Side_Table Grasp filled_plastic_bottle and come back .,Move ( Side_Table ) Grasp ( filled_plastic_bottle ) Move ( HERE )
Can you go to lobby get toy_penguin then come back .,Move ( lobby ) Find ( toy_penguin lobby ) Grasp ( toy_penguin ) Move ( HERE )
Go to Living_Table and find a person nearby bring canned_juice from Dining_Sofa .,Move ( Living_Table ) Find ( canned_juice Living_Table ) Grasp ( canned_juice ) Find ( pesron Living_Table ) Plcae ( canned_juice PERSON )
Go to Kitchen_Table go to Corridor and leave the apartment .,Move ( Kitchen_Table ) Move ( Corridor ) Move ( apartment )
Go to Living_Table get Dish_Cleaner exit from Kitchen_Room okay .,Move ( Living_Table ) Find ( Dish_Cleaner Living_Table ) Grasp ( Dish_Cleaner ) Move ( Kitchen_Room )
