人を呼んで 次に 注文を聞いて ソフナー が ダイニングソファ にあるから持ってきて .,SAY ( PERSON )  Listen ( ソフナー ) Go ( ダイニングソファ )  Find ( ソフナー )  Grasp ( ソフナー )  Go ( HERE )
リビングテーブル に行って ダイニングソファ まで行って それで キッチン を出て .,Go ( リビングテーブル ) Go ( ダイニングソファ )  Go ( キッチン )
リビングソファ に行って コーンスープ を持ち上げて ゴミ箱 に捨てて ほしいんだけど .,Go ( リビングソファ )  Find ( コーンスープ )  Grasp ( コーンスープ )  Go ( Garbage )
ダイニング に行って 寝室 に行って それで 外に出て .,Go ( ダイニング )  Go ( 寝室 )  Go ( OUTSIDE ) 
リビングソファ に行って 寝室 に入って そのまま 廊下 を出て .,Go ( リビングソファ )  Go ( 寝室  )  Go ( 廊下 )
バー に行って ダイニング に入って そのまま キッチン を出て .,Go ( バー )  Go ( ダイニング  )  Go ( キッチン )
バー まで行って キッチン に行って えっと リビング を出て .,Go ( バー )  Go ( キッチン )  Go ( リビング )
リビング に行って 廊下 に行って それで フィールドから出て .,Go ( リビング )  Go ( 廊下 )  Go ( OUTSIDE ) 
廊下 に行って コーンスープ を取って バー に置いて くれる？ .,Go ( 廊下 )  Find ( コーンスープ )  Grasp ( コーンスープ )  Go ( バー )  Place ( コーンスープ ) 
まず トイレ に行って ドレッシング を持って それで 戻ってきて .,Go ( トイレ )  Find ( ドレッシング )  Grasp ( ドレッシング )  Go ( HERE )
まず キッチン に入って グリーンティ を取って テーブル に届けて .,Go ( キッチン )  Find ( グリーンティ )  Grasp ( グリーンティ )  Go ( テーブル )
ダイニング に行って そのあと バスクリーナー を発見して それを持ち上げて .,Go ( ダイニング )  Find ( バスクリーナー )  Grasp ( バスクリーナー )
リビング に入って 次に シャンプー を発見して それを把持して .,Go ( リビング )  Find ( シャンプー ) Go ( シャンプー )  Grasp ( シャンプー )
キッチンテーブル に行って リビング に行って そのまま フィールドから退出して .,Go ( キッチンテーブル )  Go ( リビング  )  Go ( OUTSIDE )
人を呼んで 次に 注文を聞いて ブラウンティ が ソファ にあるから持ってきて .,SAY ( PERSON )  Listen ( ブラウンティ ) Go ( ソファ )  Find ( ブラウンティ )  Grasp ( ブラウンティ )  Go ( HERE )
廊下 に行って リビング に行って それで 外に出て .,Go ( 廊下 )  Go ( リビング )  Go ( OUTSIDE ) 
寝室 に行って 次に シャンプー を発見して それを取って .,Go ( 寝室 )  Find ( シャンプー )  Grasp ( シャンプー )
まず リビング に行って レッドティ を持って それで 戻ってきて .,Go ( リビング )  Find ( レッドティ )  Grasp ( レッドティ )  Go ( HERE )
最初に バー まで行って コーヒ を把持して それから 戻ってきて .,Go ( バー )  Find ( コーヒ )  Grasp ( コーヒ )  Go ( HERE )
寝室 に行って キッチン に行って それで フィールドから出て .,Go ( 寝室 )  Go ( キッチン )  Go ( OUTSIDE ) 
リビング に行って そのあと ポテトチップス を発見して それを持ち上げて .,Go ( リビング )  Find ( ポテトチップス )  Grasp ( ポテトチップス )
トイレ に行って コーンスープ を持って フィールドから出て ほしいんだけど .,Go ( トイレ )  Find ( コーンスープ )  Grasp ( コーンスープ )  Go ( OUTSIDE )
ダイニングソファ に行って キッチンテーブル まで行って それで トイレ を出て .,Go ( ダイニングソファ ) Go ( キッチンテーブル )  Go ( トイレ )
リビング に入って 近くにいる 人を探して そのまま その人に付いて行って .,Go ( リビング )  Find ( PERSON )  Follow ( PERSON )
リビングテーブル に行って ダイニング に行って そのまま フィールドから退出して .,Go ( リビングテーブル )  Go ( ダイニング  )  Go ( OUTSIDE )
最初に 廊下 に入って レッドティ を持って バー に持って行って .,Go ( 廊下 )  Find ( レッドティ )  Grasp ( レッドティ )  Go ( バー )
サイドテーブル に行って えっと ソフナー を発見して それを把持して .,Go ( サイドテーブル )  Find ( ソフナー )  Go ( ソフナー )  Grasp ( ソフナー )
リビングソファ に行って リビング に行って そのまま フィールドから退出して .,Go ( リビングソファ )  Go ( リビング  )  Go ( OUTSIDE )
最初に リビングソファ まで行って ソフナー を把持して それから 戻ってきて .,Go ( リビングソファ )  Find ( ソフナー )  Grasp ( ソフナー )  Go ( HERE )
最初に サイドテーブル まで行って シーフードヌードル を把持して それから 戻ってきて .,Go ( サイドテーブル )  Find ( シーフードヌードル )  Grasp ( シーフードヌードル )  Go ( HERE )
ダイニングテーブル に行って えっと ディッシュ を発見して それを把持して .,Go ( ダイニングテーブル )  Find ( ディッシュ )  Go ( ディッシュ )  Grasp ( ディッシュ )
テーブル に行って カップヌードル を持ち上げて ゴミ箱 に捨てて ほしいんだけど .,Go ( テーブル )  Find ( カップヌードル )  Grasp ( カップヌードル )  Go ( Garbage )
ダイニングテーブル に行って テーブル まで行って それで キッチン を出て .,Go ( ダイニングテーブル ) Go ( テーブル )  Go ( キッチン )
リビングソファ に行って トイレ に行って そのまま フィールドから退出して .,Go ( リビングソファ )  Go ( トイレ  )  Go ( OUTSIDE )
ソファ に行って 廊下 に行って そのまま フィールドから退出して .,Go ( ソファ )  Go ( 廊下  )  Go ( OUTSIDE )
トイレ に行って 寝室 に入って えっと フィールドから退出して .,Go ( トイレ )  Go ( 寝室 )  Go ( OUTSIDE ) 
ダイニングソファ まで行って シャンプー を持ち上げて ゴミ箱 に捨てて ください .,Go ( ダイニングソファ )  Find ( シャンプー )  Grasp ( シャンプー )
キッチンテーブル に行って えっと 牛乳 を発見して それを把持して .,Go ( キッチンテーブル )  Find ( 牛乳 )  Go ( 牛乳 )  Grasp ( 牛乳 )
寝室 に行って 緑茶 を持って フィールドから出て ほしいんだけど .,Go ( 寝室 )  Find ( 緑茶 )  Grasp ( 緑茶 )  Go ( OUTSIDE )
最初に ダイニング に入って 緑茶 を持って リビングテーブル に持って行って .,Go ( ダイニング )  Find ( 緑茶 )  Grasp ( 緑茶 )  Go ( リビングテーブル )
リビングテーブル に行って シーフードヌードル を持ち上げて フィールドから出て くれる？ .,Go ( リビングテーブル ) Find ( シーフードヌードル )  Grasp ( シーフードヌードル ) Go ( OUTSIDE )
トイレ に行って 次に グリーンティ を発見して それを取って .,Go ( トイレ )  Find ( グリーンティ )  Grasp ( グリーンティ )
廊下 に行って そのあと ストロベリージュース を発見して それを持ち上げて .,Go ( 廊下 )  Find ( ストロベリージュース )  Grasp ( ストロベリージュース )
リビングテーブル まで行って コーンスープ を持ち上げて ゴミ箱 に捨てて ください .,Go ( リビングテーブル )  Find ( コーンスープ )  Grasp ( コーンスープ )
最初に ダイニングテーブル まで行って ドレッシング を把持して それから 戻ってきて .,Go ( ダイニングテーブル )  Find ( ドレッシング )  Grasp ( ドレッシング )  Go ( HERE )
キッチンテーブル に行って 緑茶 を持ち上げて フィールドから出て くれる？ .,Go ( キッチンテーブル ) Find ( 緑茶 )  Grasp ( 緑茶 ) Go ( OUTSIDE )
リビングテーブル に行って えっと ドレッシング を発見して それを把持して .,Go ( リビングテーブル )  Find ( ドレッシング )  Go ( ドレッシング )  Grasp ( ドレッシング )
最初に サイドテーブル まで行って クロスクリーナー を把持して それから 戻ってきて .,Go ( サイドテーブル )  Find ( クロスクリーナー )  Grasp ( クロスクリーナー )  Go ( HERE )
キッチンテーブル に行って サイドテーブル まで行って それで キッチン を出て .,Go ( キッチンテーブル ) Go ( サイドテーブル )  Go ( キッチン )
