data,labeldata
Move to Sofa and detect Orange_Juice get it .,Move ( Sofa ) Find ( Orange_Juice Sofa ) Grasp ( Orange_Juice )
Go to Dining_Room get twin_bell_alarm_clock throw it into Dustbin please .,Move ( Dining_Room ) Find ( twin_bell_alarm_clock Dining_Room ) Grasp ( twin_bell_alarm_clock ) Move ( Dustbin ) Place ( twin_bell_alarm_clock Dustbin )
Go to Sofa next detect Blue_Potato take it .,Move ( Sofa ) Find ( Blue_Potato Sofa ) Grasp ( Blue_Potato )
Would you go to Side_Table get toy_duck carry it to Reception_Table .,Move ( Side_Table ) Find ( toy_duck Side_Table ) Grasp ( toy_duck ) Move ( Reception_Table )
Move to Kitchen_Table get Cup_Noodle place it on Living_Sofa okay .,Move ( Kitchen_Table ) Find ( Cup_Noodle Kitchen_Table ) Grasp ( Cup_Noodle ) Move ( Living_Sofa ) Place ( Cup_Noodle Kitchen_Table )
Go to Dining_Room Grasp apple throw it into Dustbin okay .,Move ( Dining_Room ) Find ( apple Dining_Room ) Grasp ( apple ) Move ( Dustbin ) Place ( apple Dustbin ) 
Would you bring salt from Sofa go to Living_Table go to Living_Sofa .,Move ( Sofa ) Place ( salt Sofa ) Move ( Living_Table ) Move ( Living_Table ) 
Go to Kitchen_Room get Red_Potato throw it into Dustbin please .,Move ( Kitchen_Room ) Find ( Red_Potato Kitchen_Room ) Grasp ( Red_Potato ) Move ( Dustbin ) Place ( Red_Potato Dustbin )
Would you go to Side_Table take Onion_Dressing bring it to Bar .,Move ( Side_Table ) Find ( Onion_Dressing Side_Table ) Grasp ( Onion_Dressing ) Move ( Bar )
Go to Side_Table move to Sofa take empty_plastic_bottle .,Move ( Side_Table ) Move ( Sofa ) Find ( empty_plastic_bottle Side_Table ) Grasp ( empty_plastic_bottle ) Move ( HERE )
Go to bed_room Grasp soysauce place it on Dining_Table okay .,Move ( bed_room ) Grasp ( soysauce ) Move ( Dining_Table ) Place ( soysauce Dining_Table )
Call a person then ask for an order get white_cup from Bar .,Say ( person ) Listen ( white_cup ) Move ( Bar ) Find ( white_cup Bar ) Grasp ( white_cup ) Move ( white_cup ) Place ( white_cup Bar ) 
Would you move to Living_Sofa get Seafood_Noodle bring it to Living_Table .,Move ( Living_Sofa ) Find ( Seafood_Noodle Living_Sofa ) Grasp ( Seafood_Noodle ) Move ( Living_Table )
Would you go to Reception_Table get toy_car carry it to Living_Sofa .,Move ( Reception_Table ) Find ( toy_car Reception_Table ) Grasp ( toy_car ) Move ( Living_Sofa )
Move to Dining_Table get ground_pepper exit from kitchen okay .,Move ( Dining_Table ) Find ( ground_pepper Dining_Table ) Grasp ( ground_pepper ) Move ( kitchen )
Well move to Sofa get soysauce and come back .,Move ( Sofa ) Grasp ( soysauce ) Move ( Sofa ) Grasp ( soysauce ) Move ( HERE )
Go to lobby get Lemon_Tea throw it into Dustbin please .,Move ( lobby ) Find ( Lemon_Tea lobby ) Grasp ( Lemon_Tea ) Move ( Dustbin ) Place ( Lemon_Tea Dustbin )
Go to Sofa move to Living_Sofa then leave the apartment .,Move ( Sofa ) Move ( Living_Sofa ) Move ( apartment )
Go to Dining_Table Grasp Bath_Cleaner leave the apartment please .,Move ( Dining_Table ) Grasp ( Bath_Cleaner ) Move ( apartment )
Move to Kitchen_Table get Blue_Potato exit from bed_room okay .,Move ( Kitchen_Table ) Find ( Blue_Potato Kitchen_Table ) Grasp ( Blue_Potato ) Move ( bed_room )
Move to Living_Sofa Grasp Seafood_Noodle leave the apartment please .,Move ( Living_Sofa ) Find ( Seafood_Noodle Living_Sofa ) Grasp ( Seafood_Noodle ) Move ( apartment )
Can you go to bed_room get twin_bell_alarm_clock then come back .,Move ( bed_room ) Find ( twin_bell_alarm_clock bed_room ) Grasp ( twin_bell_alarm_clock ) Move ( HERE )
Go to Kitchen_Room get Strawberry_Juice throw it into Dustbin please .,Move ( Kitchen_Room ) Find ( Strawberry_Juice Kitchen_Room ) Grasp ( Strawberry_Juice ) Move ( Dustbin ) Place ( Strawberry_Juice Dustbin )
Go to Side_Table take bear_doll put it on Dining_Sofa please .,Move ( Side_Table ) Find ( bear_doll Side_Table ) Grasp ( bear_doll ) Plcae ( bear_doll Dining_Sofa )
Go to Reception_Table go to Kitchen_Room and leave the apartment .,Move ( Reception_Table ) Move ( Kitchen_Room ) Move ( apartment )
Go to Side_Table get bell_pepper exit from Visitor_Room okay .,Move ( Side_Table ) Find ( bell_pepper Side_Table ) Grasp ( bell_pepper ) Move ( Visitor_Room )
Go to Bar go to kitchen and exit the apartment .,Move ( Bar ) Move ( Bar ) Move ( apartment )
Well get Cup_Noodle from Living_Sofa go to Kitchen_Room move to Side_Table .,Move ( Living_Sofa ) Grasp ( Cup_Noodle ) Move ( Kitchen_Room ) Move ( Side_Table )
Move to Reception_Table find a person neayby then follow a person .,Move ( Reception_Table ) Find ( person Reception_Table ) Follow ( pesron )
Go to Bar and find a person neayby bring empty_plastic_bottle from Living_Sofa .,Move ( Bar ) Find ( empty_plastic_bottle Bar ) Grasp ( empty_plastic_bottle ) Find ( pesron Bar ) Plcae ( empty_plastic_bottle PERSON )
Would you go to Bar take Green_Tea er come back .,Move ( Bar ) Find ( Green_Tea Bar ) Grasp ( Green_Tea ) Move ( HERE )
Well get filled_plastic_bottle from Kitchen_Table go to Visitor_Room go to Living_Room .,Move ( Kitchen_Table ) Find ( filled_plastic_bottle Kitchen_Table ) Grasp ( filled_plastic_bottle ) Move ( Visitor_Room ) Move ( Living_Room )
Would you bring cigarette from Living_Table move to Bar go to lobby .,Move ( Living_Table ) Find ( cigarette Living_Table ) Move ( Bar ) Move ( lobby )
Go to bed_room next find toy_car Grasp it .,Move ( bed_room ) Find ( toy_car bed_room ) Grasp ( toy_car )
Can you move to Side_Table get Onion_Dressing then come back .,Move ( Side_Table ) Grasp ( Onion_Dressing ) Move ( HERE )
Move to Dining_Sofa next detect spray_bottle get it .,Move ( Dining_Sofa ) Find ( spray_bottle Dining_Sofa ) Grasp ( spray_bottle )
Can you go to Reception_Table take Green_Tea carry it to Bar .,Move ( Reception_Table ) Find ( Green_Tea Reception_Table ) Grasp ( Green_Tea ) Move ( Bar )
Go to Kitchen_Table then detect empty_plastic_bottle take it .,Move ( Kitchen_Table ) Find ( empty_plastic_bottle Kitchen_Table ) Grasp ( empty_plastic_bottle ) Move ( empty_plastic_bottle )
Move to Reception_Table and detect Stick_Potato get it .,Move ( Reception_Table ) Find ( Stick_Potato Reception_Table ) Grasp ( Stick_Potato )
Go to Living_Room next find twin_bell_alarm_clock Grasp it .,Move ( Living_Room ) Find ( twin_bell_alarm_clock Living_Room ) Grasp ( twin_bell_alarm_clock )
Would you go to Dining_Room Grasp rubik's_cube er come back .,Move ( Dining_Room ) Find ( rubik's_cube Dining_Room ) Move ( HERE )
Would you bring Stick_Potato from Side_Table move to Dining_Table go to Dining_Room .,Move ( Side_Table ) Find ( Stick_Potato Side_Table ) Move ( Dining_Table ) Move ( Dining_Room )
Would you go to Reception_Table get soysauce carry it to Dining_Table .,Move ( Reception_Table ) Find ( soysauce Reception_Table ) Grasp ( soysauce ) Move ( Dining_Table )
Move to Living_Sofa find a person neayby then follow a person .,Move ( Living_Sofa ) Find ( person Living_Sofa ) Follow ( pesron )
Go to Dining_Room and find a person neayby bring Blue_Potato from Living_Table .,Move ( Dining_Room ) Find ( person Dining_Room ) Move ( Living_Table ) Grasp ( Blue_Potato ) Move ( person )
Would you go to Bar take Seafood_Noodle er come back .,Move ( Bar ) Find ( Seafood_Noodle Bar ) Grasp ( Seafood_Noodle ) Move ( HERE )
Go to kitchen er find a person neayby bring cigarette from Dining_Table .,Move ( kitchen ) Find ( person kitchen ) Move ( Dining_Table ) Grasp ( cigarette )
Go to Dining_Room and find a person neayby bring rubik's_cube from Bar .,Move ( Dining_Room ) Find ( person Dining_Room ) Move ( Bar ) Grasp ( rubik's_cube ) Move ( person )
Call a person then ask for an order get Stick_Potato from Dining_Table .,Say ( person ) Listen ( Stick_Potato ) Move ( Dining_Table ) Find ( Stick_Potato Dining_Table ) Grasp ( Stick_Potato ) Move ( Stick_Potato ) Place ( Stick_Potato Dining_Table ) 
Go to Living_Room go to Kitchen_Table and exit from Visitor_Room .,Move ( Living_Room ) Move ( Kitchen_Table ) Move ( Visitor_Room )
Go to Living_Room get toy_car throw it into Dustbin please .,Move ( Living_Room ) Find ( toy_car Living_Room ) Grasp ( toy_car ) Move ( Dustbin ) Place ( toy_car Dustbin )
Go to Sofa get Blue_Potato exit from kitchen okay .,Move ( Sofa ) Find ( Blue_Potato Sofa ) Grasp ( Blue_Potato ) Move ( kitchen )
